bbl,bin,compltyear,unitsco,zoningdst1,latitude,longitude,lotarea,lotfront
3074170064,3424525,2014,2.0,R4,40.591349,-73.954741,2250,30.0000000
3012590001,3397468,2014,63.0,R7-1,40.6710662498,-73.9574858909,13825,98.6700000
3008990144,3395113,2011,3.0,R6B,40.6591648031,-73.9925345268,695,18.0000000
3008990143,3396338,2011,3.0,R6B,40.659132424,-73.9924788779,695,18.0000000
3008990142,3396337,2011,2.0,R6B,40.6590745452,-73.9924341122,541,19.3300000
3008990043,3393739,2011,3.0,R6B,40.659163716,-73.9923649638,1413,18.2500000
3008990042,3393738,2011,3.0,R6B,40.6592001199,-73.992327713,1825,18.2500000
3007937504,3397578,2010,16.0,R6,40.6429089577,-74.0078066008,5055,50.4600000
3009247501,3018327,2012,10.0,R6,40.6462982252,-74.001218369,4007,40.0000000
3018937502,3054573,2010,9.0,R6,40.6952350389,-73.9641560753,7500,75.0000000
3018937502,3397603,2010,10.0,R6,40.6951328655,-73.9641349272,7500,75.0000000
3029200022,3070422,2010,8.0,R6,40.7137144967,-73.9394946513,3125,25.0000000
3018967503,3394433,2015,20.0,M1-1,40.6956174989,-73.9612129849,10530,0.0000000
3018967502,3255881,2015,17.0,M1-1,40.6960618819,-73.9613186167,10735,113.7400000
3060900039,3394096,2010,8.0,R5B,40.6173384308,-74.0262596751,6886,55.0500000
3086657504,3244438,2014,6.0,R6,40.5795808539,-73.962821951,1800,40.0000000
3011127503,3397466,2014,7.0,R5B,40.6613791769,-73.9854827166,9935,50.0000000
3008060012,3398401,2013,17.0,R6,40.6462382516,-74.0155809781,4006,20.0000000
3033760042,3400894,2011,3.0,R6,40.6930988746,-73.9129863616,1900,19.0000000
3047250032,3413861,2012,3.0,R5,40.6488192351,-73.9264309693,2000,20.0000000
3047250031,3413860,2012,3.0,R5,40.6488696969,-73.9264366187,2000,20.0000000
3055887505,3135457,2012,3.0,R6,40.6412914374,-73.9899928331,2003,0.0000000
3055887506,3135459,2012,3.0,R6,40.6413581178,-73.9901044156,2004,20.0000000
3055887501,3135458,2012,3.0,R6,40.6413248967,-73.9900472921,2505,25.0000000
3055887504,3389677,2012,3.0,R6,40.6413939455,-73.9901562827,2003,20.0000000
3065280079,3171183,2011,1.0,R2X,40.6237229968,-73.9686702035,4820,40.0000000
3024157502,3396512,2011,23.0,M3-1,40.7144046341,-73.9662342861,10200,114.5000000
3031657501,3397006,2010,8.0,R6,40.7031773013,-73.9282772322,2500,25.0000000
3054197501,3398571,2018,9.0,R5,40.6295753226,-73.9762956016,8823,28.0000000
3010510033,3396870,2011,81.0,R8A,40.6660808872,-73.9927605629,13667,131.5800000
3054087501,3397116,2011,5.0,R5,40.6321567704,-73.9764947826,5000,40.0000000
3001450026,3396736,2011,184.0,C6-4.5,40.6916924159,-73.9846497378,6198,61.8300000
3019110029,3399722,2011,7.0,R6,40.693578305,-73.9594076149,2500,25.0000000
3033770058,3400895,2011,3.0,R6,40.693860073,-73.9122205309,2000,20.0000000
3033770059,3400896,2011,3.0,R6,40.6938168259,-73.9122611292,2000,20.0000000
3055007503,3131269,2010,3.0,R5,40.6198797352,-73.9802432721,2404,0.0000000
3055007502,3397635,2010,3.0,R5,40.6198495487,-73.9801741289,2404,0.0000000
3010427502,3398185,2012,4.0,R6B,40.6647341958,-73.9869686455,2545,26.0000000
3074627502,3204968,2011,10.0,C4-2,40.5880152419,-73.9521011156,6000,0.0000000
3060160021,3152379,2010,1.0,R2,40.6258347709,-74.0316748842,8000,80.0000000
3028290047,3425477,2010,30.0,R6,40.7212359139,-73.9416101141,7275,45.0000000
3071040188,3191510,2012,1.0,R4,40.5998183978,-73.9703091359,6000,60.0000000
3070267501,3397835,2010,2.0,R3-1,40.5750500266,-74.0085009177,4000,0.0000000
3034680025,3391470,2012,2.0,R6,40.6818134968,-73.9058482998,2000,20.0000000
3034680024,3413854,2012,2.0,R6,40.6817701186,-73.9058910871,2000,20.0000000
3054287501,3425444,2018,13.0,R7A,40.6311242466,-73.9704810688,4856,48.0000000
3024880011,3063766,2010,8.0,R6,40.7364685957,-73.9546471454,2500,25.0000000
3028297502,3425528,2011,8.0,R6,40.7206869441,-73.9410595412,2500,25.0000000
3056890057,3140035,2011,2.0,R5,40.6324741046,-73.9995522843,4007,40.0000000
3023947503,3399942,2013,8.0,R6,40.713297148,-73.9596302993,2508,33.6700000
3047987505,3394549,2019,4.0,R6,40.6610779394,-73.9439823573,1800,20.0000000
3015220052,3041406,2017,3.0,R6,40.681412,-73.909626,2500,25.0000000
3011530051,3396880,2017,8.0,R6B,40.676990562,-73.9647032189,3325,25.0000000
3004590024,3330272,2011,48.0,R6,40.6793963269,-73.9958068365,9402,82.4200000
3032540008,3400758,2011,8.0,R6,40.695744015,-73.926174611,2500,25.0000000
3032540007,3400757,2011,8.0,R6,40.6957030004,-73.9261027888,2500,25.0000000
3066130062,3175010,2020,1.0,R5,40.6097798961,-73.9670741763,5788,40.0000000
3042980052,3397082,2011,2.0,R6,40.6599996636,-73.892562544,1151,19.5000000
3001207502,3398677,2011,8.0,R6B,40.6970886275,-73.984311566,2944,29.3700000
3001207501,3398671,2011,8.0,R6B,40.6970089252,-73.9843166617,2945,29.3700000
3047250048,3396731,2020,2.0,R5,40.6489008527,-73.9268493633,1750,17.5000000
3047250047,3396528,2020,2.0,R5,40.6488545109,-73.9268445856,1750,17.5000000
3047250046,3396529,2020,3.0,R5,40.6488029176,-73.9268513773,2500,25.0000000
3044610013,3405790,2010,3.0,C1-2,40.669435321,-73.8697282274,3000,30.0000000
3065900068,3173958,2011,1.0,R5,40.6132441063,-73.9656321748,4000,40.0000000
3048030051,3404022,2016,3.0,R6,40.6600633112,-73.9432238139,2000,20.0000000
3036230027,3391681,2011,3.0,R6,40.6571269148,-73.9101434745,1991,19.9100000
3053687501,3405169,2013,4.0,R6,40.638925301,-73.9800491077,1701,21.0800000
3020747502,3399853,2010,9.0,R6,40.6924960145,-73.9709615941,4266,50.0000000
3016300148,3395425,2011,2.0,R6A,40.688338357,-73.9333157015,1080,27.0000000
3016300146,3395423,2011,2.0,R6A,40.6884719642,-73.9333443345,960,24.0000000
3016300147,3395424,2011,2.0,R6A,40.6884080439,-73.9333325446,960,24.0000000
3040070013,3089034,2010,2.0,R5,40.675493615,-73.8790652738,2500,25.0000000
3081130061,3412597,2011,3.0,R5,40.6514257136,-73.9111108528,2372,14.0000000
3081130063,3412603,2011,3.0,R5,40.6513844843,-73.9110795023,2600,20.0000000
3040020029,3088940,2013,2.0,C2-3,40.673965527,-73.8828205892,1550,20.0000000
3024090117,3395073,2010,10.0,R6,40.7115572231,-73.956136472,2530,37.0000000
3024090014,3414419,2010,5.0,R6,40.711742618,-73.956175068,1700,25.0000000
3008857501,3397582,2010,6.0,R6B,40.6616142022,-73.9911813312,2504,0.0000000
